Date,Open,High,Low,Close,Volume
04/26/2024,"169.88","171.34","169.18","169.30","44,838,352"
04/25/2024,"169.53","170.61","168.15","169.89","50,558,328"
04/24/2024,"166.54","169.30","166.21","169.02","48,251,840"
04/23/2024,"165.35","167.05","164.92","166.90","49,537,762"
04/22/2024,"165.52","167.26","164.77","165.84","48,116,441"
04/19/2024,"166.21","166.40","164.08","165.00","68,149,375"
04/18/2024,"168.03","168.64","166.55","167.04","43,122,898"
04/17/2024,"169.61","170.65","168.00","168.00","50,901,207"
04/16/2024,"171.75","173.76","168.27","169.38","73,711,242"
04/15/2024,"175.36","176.63","172.50","172.69","73,531,766"
04/12/2024,"174.26","178.36","174.21","176.55","101,670,898"
04/11/2024,"168.34","175.46","168.16","175.04","91,070,281"
04/10/2024,"168.80","169.09","167.11","167.78","49,709,340"
04/09/2024,"168.70","170.08","168.35","169.67","42,451,207"
04/08/2024,"169.03","169.20","168.24","168.45","37,425,512"
04/05/2024,"169.59","170.39","168.95","169.58","42,104,832"
04/04/2024,"170.29","171.92","168.82","168.82","53,704,391"
04/03/2024,"168.79","170.68","168.58","169.65","47,691,719"
04/02/2024,"169.08","169.34","168.23","168.84","49,329,480"
04/01/2024,"171.19","171.25","169.48","170.03","46,240,500"
03/28/2024,"171.75","172.23","170.51","171.48","65,672,688"
03/27/2024,"170.41","173.60","170.11","173.31","60,273,273"
03/26/2024,"170.00","171.42","169.58","169.71","57,388,449"
03/25/2024,"170.57","171.94","169.45","170.85","54,288,328"
03/22/2024,"171.76","173.05","170.06","172.28","71,160,141"
03/21/2024,"177.05","177.49","170.84","171.37","106,181,297"
03/20/2024,"175.72","178.67","175.09","178.67","53,423,102"
03/19/2024,"174.34","176.61","173.03","176.08","55,215,238"
03/18/2024,"175.57","177.71","173.52","173.72","75,604,180"
03/15/2024,"171.17","172.62","170.29","172.62","121,752,703"
03/14/2024,"172.91","174.31","172.05","173.00","72,913,516"
03/13/2024,"172.77","173.19","170.76","171.13","52,488,688"
03/12/2024,"173.15","174.03","171.01","173.23","59,825,367"
03/11/2024,"172.94","174.38","172.05","172.75","60,139,473"
03/08/2024,"169.00","173.70","168.94","170.73","76,267,039"
03/07/2024,"169.15","170.73","168.49","169.00","71,765,055"
03/06/2024,"171.06","171.24","168.68","169.12","68,587,711"
03/05/2024,"170.76","172.04","169.62","170.12","95,132,359"
03/04/2024,"176.15","176.90","173.79","175.10","81,510,094"
03/01/2024,"179.55","180.53","177.38","179.66","73,563,078"
02/29/2024,"181.27","182.57","179.53","180.75","136,682,594"
02/28/2024,"182.51","183.12","180.13","181.42","48,953,941"
02/27/2024,"181.10","183.92","179.56","182.63","54,318,848"
02/26/2024,"182.24","182.76","180.65","181.16","40,867,422"
